row_id	Order_ID	Order_Date	Ship_Date	Ship_Mode	Product_ID	Customer_ID
1	CA-2016-152156	11/8/2016	11/11/2016	Second Class	FUR-BO-10001798	CG-12520
2	CA-2016-152156	11/8/2016	11/11/2016	Second Class	FUR-CH-10000454	CG-12520
4	US-2015-108966	10/11/2015	10/18/2015	Standard Class	FUR-TA-10000577	SO-20335
5	US-2015-108966	10/11/2015	10/18/2015	Standard Class	OFF-ST-10000760	SO-20335
6	CA-2014-115812	6/9/2014	6/14/2014	Standard Class	FUR-FU-10001487	BH-11710
7	CA-2014-115812	6/9/2014	6/14/2014	Standard Class	OFF-AR-10002833	BH-11710
8	CA-2014-115812	6/9/2014	6/14/2014	Standard Class	TEC-PH-10002275	BH-11710
9	CA-2014-115812	6/9/2014	6/14/2014	Standard Class	OFF-BI-10003910	BH-11710
10	CA-2014-115812	6/9/2014	6/14/2014	Standard Class	OFF-AP-10002892	BH-11710
11	CA-2014-115812	6/9/2014	6/14/2014	Standard Class	FUR-TA-10001539	BH-11710
12	CA-2014-115812	6/9/2014	6/14/2014	Standard Class	TEC-PH-10002033	BH-11710
14	CA-2016-161389	12/5/2016	12/10/2016	Standard Class	OFF-BI-10003656	IM-15070
17	CA-2014-105893	11/11/2014	11/18/2014	Standard Class	OFF-ST-10004186	PK-19075
25	CA-2015-106320	9/25/2015	9/30/2015	Standard Class	FUR-TA-10000577	EB-13870
28	US-2015-150630	9/17/2015	9/21/2015	Standard Class	FUR-BO-10004834	TB-21520
29	US-2015-150630	9/17/2015	9/21/2015	Standard Class	OFF-BI-10000474	TB-21520
30	US-2015-150630	9/17/2015	9/21/2015	Standard Class	FUR-FU-10004848	TB-21520
31	US-2015-150630	9/17/2015	9/21/2015	Standard Class	OFF-EN-10001509	TB-21520
32	US-2015-150630	9/17/2015	9/21/2015	Standard Class	OFF-AR-10004042	TB-21520
34	US-2015-150630	9/17/2015	9/21/2015	Standard Class	OFF-AR-10001683	TB-21520
36	CA-2016-117590	12/8/2016	12/10/2016	First Class	TEC-PH-10004977	GH-14485
37	CA-2016-117590	12/8/2016	12/10/2016	First Class	FUR-FU-10003664	GH-14485
38	CA-2015-117415	12/27/2015	12/31/2015	Standard Class	OFF-EN-10002986	SN-20710
39	CA-2015-117415	12/27/2015	12/31/2015	Standard Class	FUR-BO-10002545	SN-20710
40	CA-2015-117415	12/27/2015	12/31/2015	Standard Class	FUR-CH-10004218	SN-20710
41	CA-2015-117415	12/27/2015	12/31/2015	Standard Class	TEC-PH-10000486	SN-20710
54	CA-2016-105816	12/11/2016	12/17/2016	Standard Class	OFF-FA-10000304	JM-15265
55	CA-2016-105816	12/11/2016	12/17/2016	Standard Class	TEC-PH-10002447	JM-15265
